hijo_fecha_nacimiento,hijo_genero,madre_nacionalidad,padre_nacionalidad,madre_tipo_documento,padre_tipo_documento
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Femenino,,,DNI,DNI
2019-01-02,Femenino,Argentina,Bolivia,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,,DNI,
2019-01-02,Masculino,Argentina,,DNI,
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Femenino,Paraguay,Paraguay,DNI,DNI
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Masculino,Suecia,Argentina,DNI,DNI
2019-01-02,Femenino,Desconocida,,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Femenino,Argentina,Haití,PAS,PAS
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,,,DNI,
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Chile,DNI,
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Femenino,Argentina,,PAS,DNI
2019-01-02,Femenino,,,DNI,DNI
2019-01-02,Femenino,Desconocida,,DNI,DNI
2019-01-02,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Desconocida,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,,DNI,
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Femenino,Paraguay,Paraguay,DNI,DNI
2019-01-02,Masculino,Argentina,,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Desconocida,DNI,DNI
2019-01-02,Femenino,,Desconocida,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,,,DNI,DNI
2019-01-02,Femenino,,,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,,DNI,
2019-01-02,Masculino,Paraguay,Paraguay,DNI,DNI
2019-01-02,Masculino,Argentina,,DNI,DNI
2019-01-02,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,,,PAS,PAS
2019-01-02,Masculino,Bolivia,Bolivia,DNI,DNI
2019-01-02,Femenino,Desconocida,,DNI,DNI
2019-01-02,Femenino,Venezuela,Venezuela,PAS,PAS
2019-01-02,Masculino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,,,DNI,DNI
2019-01-02,Femenino,,,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,Argentina,DNI,DNI
2019-01-02,Femenino,Argentina,,DNI,PAS
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Paraguay,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,,,DNI,DNI
2019-01-03,Masculino,,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Desconocida,,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Desconocida,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Paraguay,Paraguay,C.PAR,C.PAR
2019-01-03,Femenino,Paraguay,Paraguay,C.PAR,C.PAR
2019-01-03,Masculino,Argentina,,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Paraguay,Paraguay,C.PAR,DNI
2019-01-03,Femenino,Paraguay,Paraguay,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,DNI
2019-01-03,Masculino,,,PAS,PAS
2019-01-03,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Desconocida,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,,DNI,
2019-01-03,Femenino,,,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,,Paraguay,DNI,DNI
2019-01-03,Femenino,Argentina,,DNI,DNI
2019-01-03,Masculino,,,DNI,PAS
2019-01-03,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,,,DNI,
2019-01-03,Masculino,Bolivia,,,
2019-01-03,Masculino,Argentina,Desconocida,DNI,DNI
2019-01-03,Femenino,Desconocida,,PAS,DNI
2019-01-03,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Femenino,Argentina,Paraguay,DNI,DNI
2019-01-03,Femenino,,Argentina,DNI,DNI
2019-01-03,Masculino,Desconocida,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,DNI
2019-01-03,Masculino,,,,
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,
2019-01-03,Masculino,Argentina,,DNI,
2019-01-03,Masculino,Desconocida,Argentina,DNI,DNI
2019-01-03,Femenino,,,DNI,DNI
2019-01-03,Femenino,Corea del Sur,China,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Perú,Perú,DNI,DNI
2019-01-03,Femenino,Argentina,,DNI,
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,,,DNI,DNI
2019-01-03,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Bolivia,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Paraguay,Paraguay,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Femenino,,,DNI,DNI
2019-01-03,Femenino,,Haití,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,DNI
2019-01-03,Femenino,,,DNI,DNI
2019-01-03,Femenino,,,DNI,DNI
2019-01-03,Masculino,,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Desconocida,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Perú,Paraguay,DNI,DNI
2019-01-03,Masculino,Argentina,Perú,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Corea del Sur,Argentina,DNI,DNI
2019-01-03,Femenino,Paraguay,,DNI,
2019-01-03,Femenino,,,,
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,,Perú,DNI,
2019-01-03,Masculino,,,DNI,DNI PERU
2019-01-03,Femenino,,,DNI,DNI
2019-01-03,Femenino,,,DNI,
2019-01-03,Masculino,Desconocida,,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,,,DNI,
2019-01-03,Femenino,Bolivia,Bolivia,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Desconocida,Argentina,DNI,DNI
2019-01-03,Masculino,Desconocida,-,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Bolivia,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,DNI
2019-01-03,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Masculino,,Argentina,DNI,DNI
2019-01-03,Femenino,Paraguay,Argentina,DNI,DNI
2019-01-03,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,,,DNI,DNI
2019-01-03,Femenino,Argentina,Desconocida,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,,DNI,
2019-01-03,Masculino,,,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,
2019-01-03,Masculino,Argentina,,DNI,
2019-01-03,Masculino,Paraguay,Argentina,C.PAR,C.PAR
2019-01-03,Masculino,,Desconocida,DNI,DNI
2019-01-03,Femenino,Desconocida,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Paraguay,Paraguay,DNI,DNI
2019-01-03,Femenino,Argentina,,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,,,,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,,,DNI,DNI
2019-01-03,Masculino,,,DNI,DNI
2019-01-03,Femenino,Argentina,,DNI,DNI
2019-01-03,Masculino,,Desconocida,DNI,DNI
2019-01-03,Masculino,,,DNI,DNI
2019-01-03,Masculino,Desconocida,Argentina,DNI,DNI
2019-01-03,Femenino,,,DNI,DNI PERU
2019-01-03,Femenino,Argentina,,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,,Desconocida,DNI,DNI
2019-01-03,Femenino,Argentina,,,
2019-01-03,Masculino,Argentina,,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Masculino,,,DNI,DNI
2019-01-03,Femenino,Argentina,Paraguay,DNI,DNI
2019-01-03,Masculino,Desconocida,Argentina,DNI,DNI
2019-01-03,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,,Desconocida,DNI,DNI
2019-01-03,Femenino,Argentina,,DNI,
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Paraguay,Paraguay,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,
2019-01-03,Masculino,Paraguay,,DNI,
2019-01-03,Masculino,Argentina,,DNI,
2019-01-03,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,,,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Desconocida,DNI,DNI
2019-01-03,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Femenino,,,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Venezuela,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Perú,DNI,DNI PERU
2019-01-03,Masculino,Perú,Perú,DNI,DNI
2019-01-03,Femenino,,,DNI,C.BOL
2019-01-03,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Femenino,Venezuela,Venezuela,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,,,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,DNI
2019-01-03,Masculino,Venezuela,Venezuela,PAS,PAS
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,Bolivia,Bolivia,DNI,DNI
2019-01-03,Masculino,,,C.BOL,C.BOL
2019-01-03,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,,DNI,
2019-01-03,Femenino,Desconocida,Argentina,DNI,DNI
2019-01-03,Masculino,,,DNI,DNI
2019-01-03,Masculino,,Argentina,DNI,DNI
2019-01-03,Femenino,Argentina,Uruguay,DNI,DNI
2019-01-03,Femenino,,Desconocida,DNI,DNI
2019-01-03,Femenino,,,DNI,DNI
2019-01-03,Masculino,Perú,Perú,DNI PERU,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Femenino,,,DNI,DNI
2019-01-03,Femenino,Bolivia,Bolivia,DNI,DNI
2019-01-03,Femenino,Venezuela,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Paraguay,Desconocida,DNI,DNI
2019-01-03,Femenino,,,DNI,DNI
2019-01-03,Femenino,Argentina,Argentina,DNI,DNI
2019-01-03,Masculino,Argentina,Argentina,DNI,DNI
2019-01-04,Masculino,Argentina,,DNI,DNI
2019-01-04,Masculino,Argentina,Argentina,DNI,DNI
2019-01-04,Femenino,Argentina,Argentina,DNI,DNI
2019-01-04,Femenino,Argentina,Argentina,DNI,DNI
2019-01-04,Femenino,Argentina,Argentina,DNI,DNI
2019-01-04,Masculino,Argentina,Argentina,DNI,DNI
2019-01-04,Masculino,Argentina,,DNI,
2019-01-04,Masculino,Paraguay,Desconocida,DNI,DNI
2019-01-04,Masculino,Argentina,Desconocida,DNI,DNI
2019-01-04,Masculino,Argentina,Argentina,DNI,DNI
2019-01-04,Femenino,Argentina,,DNI,DNI
2019-01-04,Femenino,Argentina,Argentina,DNI,DNI
2019-01-04,Masculino,Argentina,Argentina,DNI,DNI
2019-01-04,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-04,Femenino,Argentina,Argentina,DNI,DNI
2019-01-04,Masculino,Desconocida,Desconocida,DNI,DNI
2019-01-04,Femenino,Desconocida,Desconocida,DNI,DNI
2019-01-04,Masculino,,,DNI,DNI
2019-01-04,Masculino,Desconocida,Argentina,DNI,DNI
2019-01-04,Femenino,Paraguay,,DNI,DNI
